あいじょう	愛情	爱情，爱慕
あと	跡	印迹，痕迹；迹象
あらためる	改める	改变，改正；改善
いきいき	生き生き	生动活泼；生气勃勃
いくぶん	幾分	多少；几分
おくりがな	送り仮名	送假名
おせん	汚染	污染
おどろかす	驚かす	使...吃惊
おび	帯	带，腰带
おぼれる	溺れる	淹（没），淹死；沉溺于
おまわりさん	お巡りさん	巡警，警察
おろす	卸す	批发
おんけい	恩恵	恩惠，好处；恩赐
おんたい	温帯	温带
いちじょ	一助	一点帮助
いはん	違反	犯规；违反
いらい	依頼	（委）托，（依）靠
うく	浮く	浮余，有剩余；漂，浮
うさぎ	兎	兔
うどん		面条
うまれ	生まれ	出生（地）；出身
うらみ	恨み	仇恨，怨（恨）
ウール		全毛，毛线
うれる	売れる	畅销，好卖
うろうろ		转来转去
うんと		很，非常
えいぎょう	営業	营业，经营
えがお	笑顔	笑脸
エプロン		围裙
えんかい	宴会	宴会
えんき	延期	延期
えんしゅう	演習	演习
えんじょ	援助	援助，帮助
えんとつ	煙突	烟囱，烟筒
オイル		石油；油（类）
おうたい	応対	应酬，接待
かいけい	会計	会计
かいさん	解散	解散，取消
かいし	開始	开始
がいしゅつ	外出	外出，出门
かかく	価格	价格
かくじ	各自	各自，每个人
かくべつ	格别	格外，特别
かじ	家事	家务，家事
かじょう	過剰	过剩，过量
かじる		咬，啃
かたな	刀	刀
がっきゅう	学級	年级，班
かつやく	活躍	活跃，活动
かもつ	貨物	货物
がら	柄	资格；人品；体格
かんしょう	鑑賞	欣赏，鉴赏
かんそく	観測	观察，观测
かんちょう	官庁	政府机关
かんとく	監督	监督；监督者
かんぱい	乾杯	干杯
きげん	期限	期限
きじ	生地	素质；布料
きすう	奇数	奇数，单数
きたい	気体	气体
きつい		刚强的；厉害的
きみょう	奇妙	奇妙，出奇
きゃくま	客間	客厅
きゅう	級	等级，班级
きゅうぎょう	休業	停业，歇业
きゅうげき	急激	急剧，激烈
きよい	清い	清的，清澈的
きょうかい	境界	界，边界
ぎょうれつ	行列	行列；队伍
きらく	気楽	舒适；轻松，随便
きんぎょ	金魚	金鱼
ぐうすう	偶数	偶数
くうちゅう	空中	空中，天空
くぎ	釘	钉子
くすりゆび	薬指	无名指
くたびれる		疲劳，疲乏
こうしき	公式	公式；正式
こうすい	香水	香水
こうせき	功績	功绩
こうせん	光線	光线
こうはい	後輩	晚辈，后辈
こうぶつ	鉱物	矿物
こごえる	凍える	冻僵
こしかけ	腰掛け	椅子，凳子
こしかける	腰掛ける	坐(下)
ごじゅうおん	五十音	五十音图
こてん	古典	古典
ころがす	転がす	滚动，转动；弄倒
こんかい	今回	这一回，这回
コンクール		竞赛会，会演
こんごう	混合	混合
こんだて	献立	菜单，菜谱
さい	祭	...祭,...节
さいそく	催促	催促
さいなん	災難	灾难
さいほう	裁縫	裁缝，缝纫
ざいもく	材木	木材，木料
サイン		签名
さかい	境	界线，分界
さくもつ	作物	农作物，庄稼
ざつおん	雑音	杂音
さべつ	差別	差别
さんすう	算数	算术，初级数学
しおからい	塩辛い	咸的
しかい	司会	司仪，主持会议
しきゅう	至急	火急，加急
じけん	事件	事件，案件
じしゅう	自習	自习
ししゅつ	支出	支出
しじょう	市場	市场，销路
しそん	子孫	子孙，后裔
シーツ		床单
しつぎょう	失業	失业
じっせき	実績	实绩
しつぼう	失望	失望
じつよう	実用	实用
してい	指定	指定
してん	支店	分店，分行
しぼう	死亡	死亡
しまい	姉妹	姐妹，姊妹
しゃっきん	借金	借钱，借款
しゅうかい	集会	集会
じゅうきょ	住居	住所，住宅
しゅうごう	集合	集合
じゅうし	重視	重视
しゅうてん	終点	终点，终点站
しゅうりょう	終了	终了，完成
しゅくじつ	祝日	节日
じゅつご	述語	谓语
しゅつじょう	出場	出场，上场
じょうきゅう	上級	高年级，上一级
しょうしゃ	商社	商行，商社
しょうてん	焦点	焦点
じょうとう	上等	上等，高级
しょうとつ	衝突	冲突，冲撞
じょしゅ	助手	助手，助教
しょっき	食器	食器，餐具
しらが	白髪	白发
しんさつ	診察	诊察，诊断
じんしゅ	人種	种族，阶层
しんだい	寝台	床；卧铺(车)
しんにゅう	侵入	侵入
しんらい	信頼	信赖，可靠
す	酢	醋
すいじゅん	水準	水平，水准
スイッチ		开关，电门
ずうずうしい		脸皮厚的，不在乎的
すきま	隙間	缝隙，间隙
スーツ		(上下身)成套西服
すませる	済ませる	做完；将就，凑合
すみ	墨	墨，墨汁
ずらす		错开，挪一挪
ずれる		移动；偏离
せい	姓	姓
ぜい	税	税
せいきゅう	請求	请求，要求，索款
せいけつ(だ）	清潔	清洁
せいげん	制限	限制，控制
せいしき	正式	正式，正规
せいとう	政党	政党
せいねんがっぴ	生年月日	出生年月日
せいべつ	性别	性别
せいほうけい	正方形	正方形
せいれき	西暦	西历，公元
セット		调整，固定，成套
セメント		水泥
せんす	扇子	扇子，折扇
そうこ	倉庫	仓库
そうりだいじん	総理大臣	总理大臣
そしつ	素質	素质，天资
そで	袖	袖子
そまつ	粗末	粗糙，简陋，简慢
そる	剃る	剃，刮
そろばん		算盘
くもり	曇り	阴天，多云
クリーニング		洗衣，洗涤
くれ	暮れ	年末，傍晚，季末
けいご	敬語	敬语
けいと	毛糸	毛线
けいとう	系統	系统；体系
げきじょう	劇場	剧场
げじゅん	下旬	下旬
げつまつ	月末	月末，月底
げひん	下品	下流，卑鄙
けむい	煙い	呛人的
けん	券	券；票据
げんきん	現金	现金
ご	語	语(言)，(单)词
こうくう	航空	航行
こうげい	工芸	工艺
こうこう	孝行	孝顺
こうさい	交際	交际，交往
たいくつ	退屈	无聊，郁闷，寂寞
たいこ	太鼓	鼓
たいざい	滞在	旅居，逗留
たいし	大使	大使
たいしょう	対照	对照，对比
だいり	代理	代理(店)
たがやす	耕す	耕(作)
たく	炊く	煮，烧
たっぷり		充分，足够
たのもしい	頼もしい	前途有为的，靠得住
ダム		水坎；水库
たんしょ	短所	短处，缺点
たんじょう	誕生	诞生，出生
たんす		衣柜，五斗橱
だんたい	団体	团体；集体
ちい	地位	地位，职位
ちぎる		掰碎；拧下来
ちぢめる	縮める	缩小，缩回，缩减
ちゅうじゅん	中旬	中旬
ちゅうせい	中世	中世纪
ちょうき	長期	长期
ちょうじょ	長女	长女
ちょうだい		领受，请给(我)...
ちょうほうけい	長方形	长方形
ちょきん	貯金	存款，储蓄
ちょっけい	直径	直径
つい	対	对；...双
ついか	追加	追加
つうち	通知	通知,告知
つうやく	通訳	翻译，译员
つきひ	月日	时光，岁月，太阳和月亮
つばさ	翼	机翼，翅膀
つまずく		受挫；趔趄，踉跄
つよき	強気	有骨气，刚强
ていれ	手入れ	修理，维修保养
てっきょう	鉄橋	铁桥
てっこう	鉄鋼	钢铁
てつづき	手続き	手续，程序
デモ		游行示威
でんきゅう	電球	电灯炮
てんけい	典型	典型
てんのう	天皇	天皇
でんぱ	電波	电波
テンポ		速度；拍子
とう	党	政党；同伙
どう	銅	铜
とうだい	灯台	灯塔，航标灯
とうばん	当番	值班(人)
どうりょう	同僚	同事；同僚
どく	毒	毒，毒物
どくしん	独身	独身
ところどころ	所々	处处，有些地方
トップ		第一，尖端
とも	友	友人，朋友
とりけす	取り消す	取消，作废
ナイロン		尼龙
ななめ	斜め	倾斜
なまいき	生意気	夸大；骄傲(自大)，狂妄
なわ	縄	绳(索)
なんべい	南米	南美
にくい	憎い	可憎的，讨厌的
にくらしい	憎らしい	可憎的，讨厌的
にごる	濁る	浑浊，变浊
にじ	虹	(彩)虹
にっこう	日光	日光，阳光
にっこり		微笑貌
にゅうしゃ	入社	进入公司
にる	煮る	煮炖
ねぼう	寝坊	睡早觉
ねんど	年度	年度
のうそん	農村	农村
のぞく	除く	除外，除去
のぼり	上り	上行(列车)，登；上升
のる	載る	登载，刊载
はあ		是，嗬，啊
はいいろ	灰色	灰色
ばいばい	売買	买卖
パイプ		管，烟斗
はか	墓	坟
はた	旗	旗(帜)
はっこう	発行	发行，发放
はで	派手	华丽，花哨
はんい	範囲	范围
はんけい	半径	半径
はんざい	犯罪	犯罪
パンツ		短裤
はんとう	半島	半岛
ひきょう	卑怯	怯懦，卑鄙
ピクニック		郊游，野游
ひこう	飛行	飞行
ひたい	額	额
ひっし	必死	殊死，拼命
ぴったり		正好，恰好；突然停止貌
ひとごみ	人込み	人群拥挤，人山人海(的地方)
ひょうし	表紙	封皮，封面
びょうどう	平等	平等
ピン		栓，销；别针
ふざける		开玩笑；戏弄
ふし	節	节；关节，骨节
ふじゆう	不自由	不自由，不如意
ふぞく	付属	附属
ふだ	札	牌子，条子
ぶだい	舞台	舞台
ふつう	不通	不通，不通信；没来往
ぶつける		打(中)；撞上
ぶひん	部品	零件
ふへい	不平	不平，不满
プラン		计划，方案
ふりむく	振り向く	回顾；回头
ふろしき	風呂敷	包袱皮
ぶん	分	部分，份儿；程度
ぶんすう	分数	分数
ぶんぷ	分布	分布，散布
ぶんるい	分類	分类
へい	塀	围墙
へいたい	兵隊	士兵，军队
へいや	平野	平原
べつ	別	按...分类
ベルト		皮带；安全带
ペンキ		油漆，涂料
べんじょ	便所	厕所
ぼうけん	冒険	冒险
ぼうし	防止	防止
ほうたい	包带	绷带
ほうぼう	方々	各方，到处
ほどく		解开，拆开
ほのお	炎	火焰，火苗
まいご	迷子	迷路的孩子
まう	舞う	飞舞，飘荡，跳舞
まく	幕	幕；(戏剧)一幕
まさつ	摩擦	摩擦
マスク		口罩；面具
まっくろ	真っ黒	乌黑
まっしろい	真っ白い	雪白的
まねる	真似る	模仿，仿效
まわりみち	回り道	绕道，绕远
ミシン		缝纫机
みずぎ	水着	游泳衣
みっともない		难看的，不象样的
みほん	見本	样品，典型
ミルク		牛奶
みんよう	民謡	民谣，民歌
めいし	名詞	名词
めいしょ	名所	名胜(古迹)
めいぶつ	名物	著名特产，著名人物
めんせつ	面接	面试，接见
もうしこむ	申し込む	预约，报名
もうふ	毛布	毛毯
もしも		假如...，如果
もうしわけない	申し訳ない	实在抱歉，非常对不起
モーター		电动机，发动机
モダン		时髦，现代
モデル		模特儿，模型
もんどう	問答	问答，议论
やけど	火傷	烧伤，烫伤
やとう	雇う	雇佣
ゆうこう	友好	友好
ゆうしゅう	優秀	优秀
ゆうりょう	有料	收费
ゆかた	浴衣	浴衣
ゆげ	湯気	热气，蒸气
よう	様	...样子，...方式
ようもう	羊毛	羊毛
よこぎる	横切る	横穿
よさん	予算	预算
ラケット		球拍
りこう	利口	伶俐，机灵
りょうがえ（する）	両替	兑换，换钱
りんじ	臨時	临时，暂时
れんが	煉瓦	砖
ロビー		大厅，休息室
わ	輪	圈，环；(车)轮
わかわかしい	若々しい	年轻轻的
わふく	和服	和服
わりざん	割り算	除法
わりびき	割引き	减价，打折扣
あおぐ		扇(风)
アーク		(圆)弧，弓形；弧光；电弧
あくる	明くる	(后接年、月、日)明...,下...
あて		(寄、送、汇)给...，致...；(前接数量词)每...
いっさく	一昨	前(年，天...)
いっさんかたんそ	一酸化炭素	(化)一氧化碳
いまに	今に	一会儿，即将；最近，早晚，(到)现在，至今
いる		炒，煎
うつ	討つ	杀；(讨)伐，攻
え	柄	(器物的)柄，把儿
えび	蝦	虾
えんじる	演じる	扮演，干，做出
おい	甥	外甥，侄子
おろそか	疎か	马虎，草率，粗心大意
おん	御	表示敬意
かけ		表示动作未完成或中断
かっこ	括弧	括号；括起来
かようきょく	歌謡曲	通俗歌曲
カラー		色(彩)；颜料
かん	卷	书(本)；(书的)...卷
かんこく	韓国	韩国
ぎちょう	議長	(会议、团体等的)主席，议长
きっさ	喫茶	喝茶
きゃくご	客語	(语法)宾语
キャベツ		卷心菜，甘蓝
きゅうよ	給与	工资，津贴；供给，供应
くだり	下り	下，降；(列车的)下行
くらい	位	地位，职位；位数
くわだてる	企てる	计划，企图；打算，试图
けい	型	...型，...模型
けいこう	蛍光	萤火虫的光；荧光
けいこく	警告	警告
けっしょう	血漿	血浆
こうじつ	口実	借口，口实
こうど	光度	光度
ごうどう	合同	联合，合并
こうへい	公平	公平，公正
こうりょく	效力	効力，效果
さお		竹竿，竿子
さくせい	作製	制作，制造
しっぽ		尾巴，末尾
じつれい	実例	实例
じてん	事典	事典，百科词典
しゅう	洲	洲
じゅんじょう	純情	纯洁
しょうがくきん	奨学金	奖学金
しょうどく	消毒	消毒
じょおう	女王	女王
しょほ	初步	初步
スター		星(形)；明星
ずつう	頭痛	头痛；烦恼，忧虑
ぜいかん	税関	海关
せつぞく	接続	连接，接合
せん	栓	栓，塞(子)
せんざい	洗剤	洗涤剂
ぜんねん	前年	去年；前几年，前些年
せんめんき	洗面器	面盆，脸盆
たいわん	台湾	台湾
たつ	建つ	建，盖
ちゅう	注	注解，注释
つうこう	通行	通行，往来；通用，常用
つな	綱	缆绳，绳索
でし	弟子	弟子，徒弟
てぬぐい	手ぬぐい	布手巾
とく	溶く	溶(化)；溶合
ドル		美元
なかなおり	仲直り	和好，和解
なりゆき	成り行き	趋势，变化，结果
にがす	逃がす	放走；错过(机会)
ぬらす	濡らす	弄湿
はい	灰	灰
はいゆう	俳優	演员
はかり		秤
はかる	謀る	欺骗，谋算，谋求
バケツ		水桶
はげる		掉头发，秃
はなれる	放れる	解开
はら	原	平原，原野
びんぼうにん	貧乏人	穷人
ふごう	符号	符号，记号
ふさぐ	塞ぐ	不舒畅，郁闷；闭，堵塞
へん	遍	...遍,...回
へんしゅう	編集	编辑
ぼっちゃん	坊っちゃん	小宝宝，小朋友；少爷
ほり	堀	渠，沟；护城河
ミス		小姐，姑娘
むしば	虫歯	龋齿
めいじん	名人	名人
めぼしい		明显的，出色的；贵重的，值钱的
やくいん	役員	官员；董事
やくにん	役人	官吏
やじるし	矢印	箭形符号
よける	避ける	躲避，防备
よび	予備	预备，备品
れいとう	冷凍	冷冻
れんたいし	連体詞	(语法)连体词
わりあて	割り当て	分配，分摊；分担额(量)，分配的任务
めん	綿	棉制品，棉
そくたつ	速達	快信，快(递)件
かたづく	片付く	收拾整齐；处理好
かん	勘	灵机，直觉，第六感
あい	愛	爱
あいこうか	愛好家	爱好者
あいさつ	挨拶	寒暄
あいず	合図	暗号，记号
あいちゃく	愛着	眷恋
あいて	相手	对方，对手
あいどく	愛読	爱读，喜欢读
あかあかと	赤々と	熊熊
あかとんぼ	赤蜻蛉	红蜻蜓
あからさま		清楚，公开
あがる	上がる	上，进
あかるい	明るい	明亮
あきびん	空き瓶	空瓶
あきらか	明らか	明显
あきる	飽きる	腻，够，满足
あくい	悪意	恶意
あくしゅ	握手	握手
あくせく		辛辛苦苦
あける	明ける	天亮，新开始
あげる	挙げる	列举，举行，发动
あさい	浅い	浅
あさましい	浅ましい	卑鄙，下流
あさる	漁る	找食
アジア		亚洲
あしあと	足跡	足迹
あじきない	味気ない	乏味，无聊
あずかる	預かる	担任，管理
あずける	預ける	寄存，寄放
あせ	汗	汗
あたい	値	值，数值
あたえる	与える	给与，给以
あたり	辺り	一带，附近
あたる	当たる	适逢
あっとう	圧倒	压倒，凌驾
あつまる	集まる	聚集，聚会
あつめ	厚め	稍厚
あてがう	宛がう	分配，分给
アテネ		雅典
あてる	当てる	贴近，安，放
あと		后，以后，后面
あな	穴	洞，穴，孔
あなたがた		你们
あのまま		就那样
あぶら	油	油
アフリカ		非洲
あまのがわ	天の川	银河
あまりに		太，过于
あむ	編む	编织
アメリカ		美国
あらい	粗い	粗糙，稀疏
あらしやま	嵐山	岚山(地名)
あらそう	争う	争斗，斗争，竞争
あらゆる		所有，一切
あらわす	現す	出现
あらわれる	現れる	表现
ありあり		清清楚楚
ありがたい	有難い	难得，值得庆幸
ありったけ	有りったけ	所有，一切
あるいは		或，或是
あるきつづける	歩き続ける	持续步行
アルゼンチン		阿根廷
アルファベット		罗马字
あわい	淡い	淡的，浅的
あわせる	合わせる	合起，合并
～あわせる	~合わせる	互相
あわれむ	哀れむ	同情，怜惜
あんい	安易	容易
あんしょう	暗唱	背诵
いいかえる	言い換える	换句话说
いいだす	言い出す	说出
いいなおす	言い直す	重说，再说一遍
いいのこす	言い残す	留下话
いうまでもない	言うまでもない	不用说，当然
いえる	言える	能说，可以说
いき	意気	气势，气概
いきがい	生きがい	生存的意义
いきぐるしい	息苦しい	呼吸困难
いきづまる	行き詰まる	喘不上气
いくさ	戦	战争，战斗
いぐさ		灯心草
いくじ	育児	养育幼儿
いけだ	池田	池田(人名)
いける	活ける	揷，栽
いご	囲碁	围棋
いこう	以降	以后
#NAME?		等于
いし	医師	医生
いし	意志	意志
いしかわ	石川	石川(姓)
いしかわたくぼく	石川啄木	石川啄木(人名)
いしつ	異質	不同性质
いじゅつ	医術	医术
いしょく	異色	特色
いじわるい	意地悪い	心眼坏
いじん	偉人	伟人
いぜん	以前	以前
いそいそ		高高兴兴
いた	板	板
いだい	偉大	伟大
いだく	抱く	怀有，怀抱
いたみ	痛み	疼痛，苦恼
いち	位置	位置
いちい	一位	首位，第一
いちご		草莓
いちにんまえ	一人前	成人，一个人的份儿
いちぶ	一部	一部分
いちめんてき	一面的	片面的
いつか		不知不觉，曾经
いっかしょ	1か所	一处
いっきょ	一挙	一举
いつくしむ	慈しむ	怜爱，疼爱
いっしょ		一起
いっしょう	一生	一生
いっそう		更加
いっち	一致	一致
いってらっしゃい	行ってらっしゃい	走好
いっとき	一時	一时，暂时
いつぱい	一杯	一杯，满，全部
いっぺん	一遍	一遍
いつわり	偽り	谎言，虚伪
いてん	移転	迁移，搬家
いどう	異同	异同
いとぐち	糸口	线头，开端
いとしい		可爱，可怜
いにん	委任	委任
いぬ	犬	狗
いのうえ	井上	井上
いのち	命	生命
いまだに		仍然，尚
いまでは	今では	现在
いまや	今や	现在，已经
いやいやながら	嫌々ながら	勉强，不愿意
いやくしょ	医薬書	医药书
いよいよ		更，越发，终于
いらっしゃい		欢迎
いりょう	医療	医疗
いりょうひ	医療費	医疗费
いれかえる	入れ替える	换，改换
いれかわる	入れ代わる	替换，交换
いろは		初步，入门
いろり		地炉，炕炉
いわい	祝い	喜庆，庆贺
いわう	祝う	庆祝，祝贺
いわてけん	岩手県	岩手县
いんが	因果	因果
インク		墨水
いんよう	引用	引用
ほうふ（だ）	豊富	丰富
ホーム		家庭，
ボート		小船，小艇
うえ	飢え	饥饿
ウエーター		(餐厅等的)男服务员
ウエートレス		餐厅等的)女服务员
うえき	植木	庭院的树木，盆栽
うかがう	伺う	拜访
うかびあがる	浮かび上がる	浮起，漂起
うかぶ	浮かぶ	漂，浮，呈现
うけとる	受け取る	收下
うけもつ	受け持つ	担任，担当
うごかす	動かす	活动，转动
うし	牛	牛
うしかい	牛飼い	放牛，牛倌
うしなう	失う	丧失，失去
うすまる	薄まる	变淡
うすめる	薄める	稀释
うだる	うだる	热得浑身发软
うちあげ	打ち上げ	发射
うちだ	内田	内田
うちとける	打ち解ける	融洽
うちひしがれる		打垮
うちゅうひこうし	宇宙飛行士	宇航员
うちょうてん	有頂天	欣喜若狂
うつす	移す	迁，移，变动
うっかり		出神，心荡神驰
うどんじる	疎んじる	疏远，冷淡
うなる		呻吟，吼叫
うねる		弯曲，蜿蜒
うばう	奪う	剥夺，夺走
うま	馬	马
うまれこきょう	生まれ故郷	故土
うまれそだつ	生まれ育つ	生养
うむ	有無	(明确表示要)可否
うめ	梅	梅树，梅花
うめく		呻吟
うもれる	埋もれる	埋上，埋下
うやまう	敬う	敬，尊敬
うらおもて	裏表	正反面，表里
うらやましい		令人羡慕
うらやむ		羡慕
うるおす	潤す	润，湿
うれえる	憂える	担心，忧虑
うわのそら	上の空	心不在焉
え		哦
えいきょう	影響	影响
えいせい	衛生	卫生
えいぞく	永続	持久
えいよう	栄養	营养
ええと		嗯
えかき	絵描き	画家
エジソン		爱迪生
エジプト		埃及
えしゃく	会釈	点头，打招呼
SF（エスエフ）		科幻小说
えっ		哎
えど	江戸	江户
えとく	会得	领会，理解
えのぐ	絵の具	绘画颜料
えらい	偉い	伟大，了不起
える	得る	得到，获得
LSI（エルエスアイ）		大规模集成电路
えん	円	日元
えんげい	園芸	园艺
エンジンつき	エンジン付き	装有发动机(的)
おあがり		请进
おいたち	生い立ち	成长
おいはらう	追い払う	轰走，赶走
おう	王	王
おう	追う	追
おうふく	往復	往返
おうべいふう	欧米風	西洋式
おおきめ	大きめ	稍大
おおじしん	大地震	大地震
おおどおり	大通り	大马路，大街
おおはばに	大幅に	大幅度
おおむね	概ね	大约，大致
おおめ	多目	稍多
おおや	大家	房东
おかず		菜
おかだ	岡田	冈田
おがむ	拝む	拜，叩拜
おかやま	岡山	冈山
おかゆ		粥
おきあがる	起き上がる	起来，站起来
おきかえる	置き換える	变换位置
おく	奥	里头，内部，深处
おくる	贈る	赠送
おこす	起こす	发生，引起
おこたる	怠る	怠慢，懒惰
おこる	起こる	发生
おさえる	押える	按住
おさない	幼い	幼小，幼年
おさまる	納まる	收纳，平定，平息
おしい	惜しい	可惜，遗憾
おしまい	御仕舞い	完了，最后
おせわになりました	お世話になりました	给您添麻烦了
おそらく	恐らく	恐怕，大概
おそれる	恐れる	害怕，担心
おそろしい	恐ろしい	可怕，惊人
おだいじに	お大事に	请多保重
おたがい	お互い	互相
おちる	落ちる	掉，落
おっ		噢
おっと	夫	丈夫，爱人
おとす	落とす	失落，丢掉，遗失
おととい	一昨日	前天
おととし	一昨年	前年
おとなしい		温顺
おに	鬼	鬼
おはよう（ございます）		您早
おぼん	お盆	盂兰盆节
おまえたち		你们
おまけに		而且，再加上
おもいきって	思い切って	下决心，断然
おもいきり	思い切り	尽情
おもいで	思い出	回忆
おもいのほか	思いのほか	意外，没想到
おもかげ	面影	影像，面貌
おもたい	重たい	沉重
おもな	主な	主要的
おもに	重荷	重载，重货
おもはゆい		害躁
おもに	主に	主要
おや	親	父母，双亲
おやこ	親子	父母和子女，父子，母子
おやこうこう	親孝行	孝顺双亲
およめさん	お嫁さん	妻子
オランダ		荷兰
おりあげる	織り上げる	织成
おりがみ	折り紙	折纸
おりひめ	織姫	织女
おる	折る	折
おれたち		我们
おわる	終わる	结束，完
おんくん	音訓	音训
おんせつ	音節	音节
おんど	温度	温度
おんどく	音読	音读
か	課	课
かい		(男性用语)表示疑问
かい	会	会
かいかい	開会	开会
がいかん	概観	概观
かいぎ	懐疑	怀疑
かいけつ	解決	解决
がいけん	外見	表面，外表
がいこう	外交	外交
がいこくご	外国語	外语
かいこん	悔恨	悔恨
がいして	概して	一般，大体上
がいしゅつぎ	外出着	出门穿的衣服
かいじょう	海上	海上
かいすいよく	海水浴	海水浴，海水游泳
かいそう	回想	回想
かいつう	開通	通车
かいてん	開店	新商店开市
かいどうぞい	街道沿い	沿路
かいとる	買い取る	买过来
かいひ	回避	回避
かいめい	解明	解释明白
カイロ		开罗
かえす	帰す	让……回去
かえりみる	顧みる	回顾
かえる	返る	复原，复归
かおく	家屋	住房
かおぶれ	顔ぶれ	参加的人，成员
がか	画家	画家
かがく	化学	化学
かがむ	屈む	弯腰，蹲下去
かがやく	輝く	放光(辉)
かかり	係り	担任(某工作)，担任者
かかる	係る	关联
かぎ	鍵	钥匙
かきあげる	書き上げる	写出，写成
かきあらわす	書き表す	写出来
かきうつす	書き写す	抄写
かきおえる	書き終える	写完
かきくわえる	書き加える	加写，添写
かきことば	書き言葉	书面语
かきこむ	書き込む	写上，填写
かきじゅん	書き順	笔顺
かきだす	書き出す	摘录，开始写
かきて	書き手	写的人
かきとめる	書き留める	记下
かきとり	書き取り	听写
かきなおす	書き直す	改写
かきね	垣根	篱笆，栅栏
かきぶり	書き振り	运笔的姿势，笔迹
かぎょう	家業	家业
かぎり	限り	只要~
かぎりない	限りない	无限
かぎる	限る	限定，限于
がくい	学位	学位
かくいつ	画一	划一，统一
かくえきていしゃ	各駅停車	每站停车
かくじつ	確実	确实
がくしゅう	学習	学习
かくすう	画数	(汉字的)笔划数
がくせいふく	学生服	男学生校服
がくぜん	愕然	愕然
かくて		于是，这样
がくねん	学年	学所
がくようひん	学用品	学习用品
かくりつ	確率	概率
かくれる	隠れる	躲，躲藏
かげ	陰	日阴，背光处
かけごえ	掛け声	号子，助威声
かける	掛ける	悬挂
かこい	囲い	围子
かこう	下降	下降
かこう	火口	火山口
かこむ	囲む	围
かさい	火災	火灾
かささぎ		喜鹊
かさなる	重なる	装饰，修饰，摆设
かし	菓子	点心
かしこまりました		知道了
かしだす	貸し出す	出借，出租
かしょ	か所	~个地方
かしょ	箇所	地方，处，位置
かす	糟	渣滓
かず	数	数
ガス		煤气
かすれる	掠れる	掠过
かぜ	風邪	感冒
かぞえる	数える	数
かた	肩	肩，膀子
がた(がた)		们(敬称)
ガタガタ		哗哗
かたまる	固まる	巩固
かため	固め	稍硬
かたりつたえる	語り伝える	流传
かたりて	語り手	说话的人
かち	価値	价值
かちょう	課長	科长
がつ	月	~月
がっかり		失望
かっき	活気	朝气
がっき	楽器	乐器
かつどう	活動	活动
かつりょく	活力	活力
かてい	家庭	家庭
かてい	課程	课程
かとき	過渡期	过度期
かな	仮名	假名
かなづち	金槌	铁锤
かならずしも		不一定
かなり		相当
かねて		事先，以前
かねる	兼ねる	兼，兼带
かび		霉
かぶ	株	股份，股票
かぶる	被る	戴
かま	鎌	镰
かまいません		没关系，不要紧
かまう	構う	介意
かまくら	鎌倉	镰仓
がまん	我慢	忍耐
かみ	神	神
かみくず	紙くず	纸屑，废纸
かみさま	神様	神仙，上帝
かみしばい	紙芝居	连环画剧，(拉)洋片
かみひとえ	紙一重	微小
かむ	噛む	嚼
かもく	科目	科目，项目
カモメ		海鸥
かゆい	痒い	痒
からこそ		正因为
からまわり	空回り	空转
かりゅう	下流	下游
かる	狩る	打猎
カレーライス		咖喱饭
かれる	枯れる	枯萎
かわ	皮	皮
がわ	側	~侧，~方面
かわいそう	可哀相	可怜
かん	缶	罐
かんがえだす	考え出す	想出
かんき	喚起	唤起
かんげい	歓迎	欢迎
かんげき	感激	感激，感动
かんげき	観劇	观剧，看戏
かんけつ	完結	完结，完毕
かんこうきゃく	観光客	游客
かんさつ	観察	观察
かんじ	感じ	感觉
かんしゃ	感謝	感谢
かんじゃ	患者	病人，患者，病号
かんしょう	感傷	伤感
かんしん	感心	赞成，赞叹
かんぜん	完全	完全
かんそう	感想	感想
かんちがい	勘違い	理解错
かんちく	含蓄	含蓄
かんどうし	感動詞	感叹词
かんとうだいしんさい	関東大震災	关东大地震
かんねん	観念	观念
がんばる	頑張る	努力，奋斗
かんびょう	看病	看护，护理
がんぼう	願望	愿望
かんむり	冠	冠
かんめい	感銘	铭记，感动
かんやく	簡約	简化
かんりゃく	簡略	简略
かんりょう	完了	完了
かんわじてん	漢和辞典	汉和字典
ぎ	着	~(服)装
きあつ	気圧	气压
きおく（する）	記憶	记忆
ぎおん	擬音	拟声
ききゃく	棄却	抛弃，不采纳
ききゅう	気球	气球
きげん	期限	期限
きげん	機嫌	情绪，问候
きこう	気候	气候
ぎしき	儀式	仪式
きしょう	起床	起床
きしょうちょう	気象庁	气象厅
ぎじんほう	擬人法	拟人法
きず	傷	伤
きずきあげる	築き上げる	缔造
きする	期する	确信
きせい	既成	既成
きせい	帰省	回乡省亲
ぎせい	擬声	拟声
ぎせいご	擬声語	拟声词
きせき	軌跡	轨迹
きそ	基礎	基础
きそいあう	競い合う	互相竞争
ぎたい	擬態	拟态
ぎたいご	議題語	似态词
きちょう	貴重	贵重
きちょうめん		一丝不苟
きちんと		准确，不多不少
ぎっしり		满满的
きどる	気取る	装腔作势
きねん	記念	纪念，留念
きのどく	気の毒	可怜，悲惨
きぼう（する）	希望	希望
きまる	決まる	定，决定
きみ	気味	心情，情绪
きみたち	君達	你们
ぎむ	義務	义务
きむら	木村	木村
ぎゃく	逆	相反
ぎゃくせつ	逆説	似非而是的说法
きゃっかんてき	客観的	客观
きゅうか	休暇	休暇
